ProductName,Size_Dimm_Elements,Size_Dimm_Rel,Size_Conn_DOF,Size_Conn_Conn,InterConn_ShortestPath_Sum,InterConn_ShortestPath_Max,InterConn_ShortestPath_Mean,InterConn_ShortestPath_Density,InterConn_FlowRate_Sum,InterConn_FlowRate_Max,InterConn_FlowRate_Mean,InterConn_FlowRate_Density,Centrality_Betweenness_Sum,Centrality_Betweenness_Max,Centrality_Betweenness_Mean,Centrality_Betweenness_Density,Centrality_ClusteringCoefficient_Sum,Centrality_ClusteringCoefficient_Max,Centrality_ClusteringCoefficient_Mean,Centrality_ClusteringCoefficient_Density,Decomp_AmeriSummers_AmSume,Decomp_CoreNumIn_Sum,Decomp_CoreNumIn_Max,Decomp_CoreNumIn_Mean,Decomp_CoreNumIn_Density,Decomp_CoreNumOut_Sum,Decomp_CoreNumOut_Max,Decomp_CoreNumOut_Mean,Decomp_CoreNumOut_Density
3-HolePunch,24,58,58,116,1516,4,2.746376812,0.047351324,1362,18,2.364583333,0.040768678,916,227,38.16666667,0.658045977,5.411111111,1,0.225462963,0.003887292,281,43,2,1.791666667,0.030890805,43,2,1.791666667,0.030890805
BenchVise,19,32,32,64,616,4,1.801169591,0.05628655,614,11,1.700831025,0.05315097,332,149.6666667,17.47368421,0.546052632,8.073809524,1,0.424937343,0.013279292,112,35,2,1.842105263,0.057565789,35,2,1.842105263,0.057565789
Blender,43,129,129,258,5332,5,2.952380952,0.022886674,4704,31,2.54407788,0.019721534,3440,870.0833333,80,0.620155039,9.097130647,1,0.211561178,0.001640009,1250,88,3,2.046511628,0.015864431,88,3,2.046511628,0.015864431
ComputerMouse,12,52,52,104,272,3,2.060606061,0.03962704,680,31,4.722222222,0.090811966,116,79.13333333,9.666666667,0.185897436,2.416666667,1,0.201388889,0.003872863,243,20,2,1.666666667,0.032051282,20,2,1.666666667,0.032051282
ElectricDrill,28,138,138,276,1814,5,2.399470899,0.01738747,2422,82,3.089285714,0.022386128,1002,284.0666667,35.78571429,0.25931677,18.57894737,1,0.663533835,0.004808216,1214,68,3,2.428571429,0.017598344,68,3,2.428571429,0.017598344
ElectricGrill,9,10,10,20,104,3,1.444444444,0.144444444,72,6,0.888888889,0.088888889,42,24,4.666666667,0.466666667,0,0,0,0,23,9,1,1,0.1,9,1,1,0.1
ElectricToothbrush,28,81,81,162,598,5,0.791005291,0.009765497,966,18,1.232142857,0.01521164,290,68,10.35714286,0.127865961,5.321428571,1,0.19005102,0.002346309,811,48,3,1.714285714,0.021164021,48,3,1.714285714,0.021164021
Flashlight,14,22,22,44,598,6,3.285,0.149,278,6,1.418,0.065,388,104,27.714,1.26,7.033,1,0.502,0.023,105,25,2,1.786,0.0812,25,2,1.7587,0.081
FoodChopper,41,131,131,262,4822,6,2.94,0.022,4262,27,2.535,0.019,3100,1021.6,75.61,0.577,19.17,1,0.468,0.004,1221,86,3,2.098,0.016,86,3,2.0976,0.016
GarageDoorOpener,30,42,42,84,2786,8,3.202298851,0.076245211,1668,5,1.853333333,0.044126984,1968,178.7238095,65.6,1.561904762,0,0,0,0,176,54,2,1.8,0.042857143,54,2,1.8,0.042857143
HairDryer,11,32,32,64,272,5,2.472,0.077,318,14,2.328,0.082,140,69,12.727,0.397,4.143,1,0.376,0.012,163,17,2,1.546,0.0483,17,2,1.5455,0.0484
Jigsaw,40,37,37,74,928,8,0.594871795,0.016077616,384,6,0.24,0.006486486,560,109,14,0.378378378,0,0,0,0,72,44,2,1.1,0.02972973,44,2,1.1,0.02972973
JuicerExtractor,7,12,12,24,84,2,2,0.166666667,86,8,1.755102041,0.146258503,28,28,4,0.333333333,2.066666667,1,0.295238095,0.024603175,31,10,2,1.428571429,0.119047619,10,2,1.428571429,0.119047619
LawnMower,43,62,62,124,5366,6,2.971,0.048,3274,22,1.771,0.029,3474,1479.3333,80.791,1.303,4.259,1,0.099,0.002,197,78,2,1.814,0.0293,78,2,1.814,0.0293
Mixer,7,12,12,24,84,2,2,0.166666667,86,8,1.755102041,0.146258503,28,28,4,0.333333333,2.066666667,1,0.295238095,0.024603175,31,10,2,1.428571429,0.119047619,10,2,1.428571429,0.119047619
NailGun,25,36,36,72,810,5,1.35,0.0375,494,16,0.7904,0.021955556,412,259,16.48,0.457777778,2.010989011,1,0.08043956,0.002234432,104,31,2,1.24,0.034444444,31,2,1.24,0.034444444
Sander,32,67,67,134,4304,10,4.338,0.065,2274,11,2.221,0.033,3248,570,101.5,1.515,7.943,1,0.248,0.004,401,62,2,1.938,0.0289,62,2,1.9375,0.029
SewingMachine,11,19,19,38,246,3,2.236363636,0.117703349,216,10,1.785123967,0.093953893,114,58,10.36363636,0.545454545,4.833333333,1,0.439393939,0.023125997,54,18,2,1.636363636,0.086124402,18,2,1.636363636,0.086124402
SolarYardLight,15,42,42,84,526,5,2.504761905,0.059637188,536,28,2.382222222,0.056719577,286,144,19.06666667,0.453968254,9.305555556,1,0.62037037,0.014770723,234,27,2,1.8,0.042857143,27,2,1.8,0.042857143
Stapler,16,55,55,110,488,4,2.033333333,0.036969697,1014,23,3.9609375,0.072017045,216,101.6,13.5,0.245454545,11.42400932,1,0.714000583,0.012981829,383,41,3,2.5625,0.046590909,41,3,2.5625,0.046590909
