Column1,[Size] - [Dimm] - [Elements],[Size] - [Dimm] - [Rel],[Size] - [Conn] - [DOF],[Size] - [Conn] - [Conn],[Inter Conn] - [Shortest Path] - [Sum],[Inter Conn] - [Shortest Path] - [Max],[Inter Conn] - [Shortest Path] - [Mean],[Inter Conn] - [Shortest Path] - [Density],[Inter Conn] - [Flow Rate] - [Sum],[Inter Conn] - [Flow Rate] - [Max],[Inter Conn] - [Flow Rate] - [Mean],[Inter Conn] - [Flow Rate] - [Density],[Centrality] - [Betweenness] - [Sum],[Centrality] - [Betweenness] - [Max],[Centrality] - [Betweenness] - [Mean],[Centrality] - [Betweenness] - [Density],[Centrality] - [Clustering Coefficient] - [Sum],[Centrality] - [Clustering Coefficient] - [Max],[Centrality] - [Clustering Coefficient] - [Mean],[Centrality] - [Clustering Coefficient] - [Density],[Decomp] - [Ameri Summers] - [AmSume],[Decomp] - [Core Num In] - [Sum],[Decomp] - [Core Num In] - [Max],[Decomp] - [Core Num In] - [Mean],[Decomp] - [Core Num In] - [Density],[Decomp] - [Core Num Out] - [Sum],[Decomp] - [Core Num Out] - [Max],[Decomp] - [Core Num Out] - [Mean],[Decomp] - [Core Num Out] - [Density],Market Value
3-Hole Punch,14,17,17,34,925,10,5.082417582,0.29896574,204,2,1.040816327,0.06122449,657,118,46.92857143,2.760504202,0.383333333,0.166666667,0.027380952,0.001610644,26,14,1,1,0.058823529,14,1,1,0.058823529,65.958
Bench Vise,14,18,18,36,571,8,3.137362637,0.174297924,173,3,0.882653061,0.049036281,364,83,26,1.444444444,0,0,0,0,50,12,1,0.857142857,0.047619048,13,1,0.928571429,0.051587302,40.466
Blender,14,19,19,38,701,9,3.851648352,0.202718334,196,5,1,0.052631579,471,110,33.64285714,1.770676692,1.25,1,0.089285714,0.004699248,43,13,1,0.928571429,0.04887218,14,1,1,0.052631579,21.42
Electric Drill,13,24,24,48,423,6,2.711538462,0.112980769,203,8,1.201183432,0.05004931,229,111.5,17.61538462,0.733974359,2.092982456,1,0.16099865,0.006708277,61,13,1,1,0.041666667,13,1,1,0.041666667,9.024
Electric Grill,12,15,15,30,321,8,2.431818182,0.162121212,104,3,0.722222222,0.048148148,195,38,16.25,1.083333333,0,0,0,0,70,10,1,0.833333333,0.055555556,9,1,0.75,0.05,54.02
Electric Toothbrush,7,12,12,24,122,5,2.904761905,0.242063492,67,3,1.367346939,0.113945578,55,16,7.857142857,0.654761905,1.366666667,0.5,0.195238095,0.016269841,33,7,1,1,0.083333333,7,1,1,0.083333333,65.162
Flashlight,10,18,18,36,263,5,2.9222,0.1623,128,5,1.28,0.0711,140,54,14,0.7778,3.4526,1,0.3453,0.0192,69,10,1,1,0.0556,10,1,1,0.0556,104.366
Food Chopper,14,19,19,38,701,9,3.8516,0.2027,196,5,1,0.0526,471,110,33.6429,1.7707,1.25,1,0.0893,0.0047,43,13,1,0.9286,0.0489,14,1,1,0.0526,20.32
Garage Door Opener,6,11,13,24,87,5,2.9,0.263636364,54,5,1.5,0.136363636,38,14,6.333333333,0.575757576,0.91025641,0.5,0.151709402,0.013791764,27,6,1,1,0.090909091,6,1,1,0.090909091,47.988
Hair Dryer,6,8,10,18,83,4,2.7667,0.3458,47,4,1.3056,0.1632,34,12,5.6667,0.7083,1.4222,0.5,0.237,0.0296,17,6,1,1,0.125,6,1,1,0.125,127.774
Jigsaw,5,11,12,23,48,4,2.4,0.218181818,42,4,1.68,0.152727273,16,9.5,3.2,0.290909091,0,0,0,0,23,5,1,1,0.090909091,5,1,1,0.090909091,22.276
Juice Extractor,14,19,19,38,895,9,4.917582418,0.258820127,208,4,1.06122449,0.055853921,612,95,43.71428571,2.30075188,0.7,0.5,0.05,0.002631579,37,14,1,1,0.052631579,14,1,1,0.052631579,105.286
Lawn Mower,11,25,25,50,364,6,3.3091,0.1324,186,6,1.5372,0.0615,212,55,19.2727,0.7709,2.006,0.05,0.1824,0.0073,91,11,1,1,0.04,11,1,1,0.04,31.982
Mixer,5,11,11,22,50,4,2.5,0.227272727,41,5,1.64,0.149090909,16,6,3.2,0.290909091,2.055555556,0.5,0.411111111,0.037373737,29,5,1,1,0.090909091,5,1,1,0.090909091,126.586
Computer Mouse,2,2,2,4,6,2,3,1.5,4,1,1,0.5,0,0,0,0,0,0,0,0,2,2,1,1,0.5,2,1,1,0.5,13.41
Nail Gun,4,8,8,16,34,4,2.833333333,0.354166667,25,4,1.5625,0.1953125,10,3,2.5,0.3125,0,0,0,0,18,4,1,1,0.125,4,1,1,0.125,79.724
Sander,9,19,19,38,192,4,2.6667,0.1404,125,4,1.5432,0.0812,91,32,10.1111,0.5322,1.4456,0.5,0.1606,0.0085,59,9,1,1,0.0526,9,1,1,0.0526,214.954
Sewing Machine,15,21,40,56,588,5,2.8,0.133333333,385,8,1.711111111,0.081481481,329,134.2833333,21.93333333,1.044444444,1.874285714,0.5,0.124952381,0.005950113,62,15,1,1,0.047619048,15,1,1,0.047619048,114.798
Solar Yard light,8,7,7,14,84,7,1.5,0.214285714,35,1,0.546875,0.078125,56,12,7,1,0,0,0,0,16,0,0,0,0,0,0,0,0,2.894
Stapler,22,26,26,52,2930,14,6.341991342,0.243922744,492,4,1.016528926,0.039097266,2307,346.5,104.8636364,4.033216783,1.630952381,0.5,0.074134199,0.002851315,33,22,1,1,0.038461538,22,1,1,0.038461538,18.04
